instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
193,2011-01-09,1,0,1,1,0,6,0,1,0.0417,0.1061,0.3219,0.2003,1,4,5
194,2011-01-09,1,0,1,2,0,6,0,1,0.1447,0.1934,0.2695,0.0744,0,3,3
195,2011-01-09,1,0,1,3,0,6,0,1,0.0433,0.0925,0.7517,0.1769,0,1,1
196,2011-01-09,1,0,1,4,0,6,0,1,0.0986,0.0826,0.2565,0.0124,0,3,3
197,2011-01-09,1,0,1,5,0,6,0,2,0.0544,0.024,0.4026,0.0108,1,5,6
198,2011-01-09,1,0,1,6,0,6,0,1,0.0524,0.0734,0.6547,0.1578,6,24,30
199,2011-01-09,1,0,1,7,0,6,0,1,0.1449,0.1086,0.7509,0.0939,9,77,86
200,2011-01-09,1,0,1,8,0,6,0,1,0.034,0.0528,0.3628,0.0898,25,76,101
201,2011-01-09,1,0,1,9,0,6,0,1,0.1381,0.1563,0.3362,0.7336,15,41,56
202,2011-01-09,1,0,1,10,0,6,0,1,0.0873,0.1241,0.3876,0.2111,6,46,52
203,2011-01-09,1,0,1,11,0,6,0,2,0.1189,0.1476,0.3821,0.0138,9,25,34
204,2011-01-09,1,0,1,12,0,6,0,1,0.0411,0.0,0.8234,0.1088,14,36,50
205,2011-01-09,1,0,1,13,0,6,0,1,0.0876,0.0846,0.6379,0.3038,14,42,56
206,2011-01-09,1,0,1,14,0,6,0,2,0.0581,0.051,0.3218,0.1781,7,36,43
207,2011-01-09,1,0,1,15,0,6,0,3,0.1378,0.152,0.4962,0.1398,10,31,41
208,2011-01-09,1,0,1,16,0,6,0,1,0.0,0.0019,0.4442,0.0106,6,54,60
209,2011-01-09,1,0,1,17,0,6,0,1,0.0863,0.1022,0.4894,0.0561,21,88,109
210,2011-01-09,1,0,1,18,0,6,0,1,0.0977,0.0739,0.581,0.1576,7,52,59
211,2011-01-09,1,0,1,19,0,6,0,1,0.0728,0.1175,0.5223,0.6173,7,44,51
212,2011-01-09,1,0,1,20,0,6,0,1,0.0651,0.0439,0.5454,0.0096,7,32,39
213,2011-01-09,1,0,1,21,0,6,0,4,0.1053,0.1411,0.6424,0.1123,1,6,7
214,2011-01-09,1,0,1,22,0,6,0,1,0.0771,0.1067,0.4239,0.0802,5,14,19
215,2011-01-09,1,0,1,23,0,6,0,2,0.0547,0.0,0.4181,0.115,1,12,13
216,2011-01-10,1,0,1,0,0,0,1,1,0.0338,0.0329,0.206,0.279,1,13,14
217,2011-01-10,1,0,1,1,0,0,1,1,0.0613,0.0348,0.4741,0.0707,1,5,6
218,2011-01-10,1,0,1,2,0,0,1,1,0.0977,0.104,0.6713,0.0863,0,2,2
219,2011-01-10,1,0,1,3,0,0,1,2,0.1914,0.1732,0.6113,0.1519,0,1,1
220,2011-01-10,1,0,1,4,0,0,1,1,0.0239,0.0258,0.5133,0.171,0,4,4
221,2011-01-10,1,0,1,5,0,0,1,1,0.0652,0.0708,0.2979,0.0645,2,6,8
222,2011-01-10,1,0,1,6,0,0,1,2,0.0609,0.0478,0.5424,0.2168,3,18,21
223,2011-01-10,1,0,1,7,0,0,1,1,0.1333,0.1106,0.2867,0.0345,15,109,124
224,2011-01-10,1,0,1,8,0,0,1,1,0.1156,0.1523,0.4125,0.5186,31,89,120
225,2011-01-10,1,0,1,9,0,0,1,1,0.0863,0.0944,0.7293,0.2505,18,61,79
226,2011-01-10,1,0,1,10,0,0,1,1,0.1113,0.105,0.4108,0.0849,6,31,37
227,2011-01-10,1,0,1,11,0,0,1,1,0.0724,0.0641,0.5461,0.0505,16,47,63
228,2011-01-10,1,0,1,12,0,0,1,2,0.1254,0.101,0.6821,0.1956,13,40,53
229,2011-01-10,1,0,1,13,0,0,1,2,0.0925,0.0536,0.56,0.2554,6,38,44
230,2011-01-10,1,0,1,14,0,0,1,1,0.1082,0.1299,0.8451,0.1065,10,56,66
231,2011-01-10,1,0,1,15,0,0,1,1,0.1212,0.1326,0.6935,0.0262,13,55,68
232,2011-01-10,1,0,1,16,0,0,1,1,0.1249,0.0971,0.6932,0.0342,14,54,68
233,2011-01-10,1,0,1,17,0,0,1,2,0.0237,0.037,0.6795,0.1212,8,81,89
234,2011-01-10,1,0,1,18,0,0,1,2,0.011,0.0,0.4319,0.3139,20,48,68
235,2011-01-10,1,0,1,19,0,0,1,1,0.1698,0.1579,0.5337,0.0745,14,64,78
236,2011-01-10,1,0,1,20,0,0,1,2,0.1418,0.1246,0.5272,0.0984,7,24,31
237,2011-01-10,1,0,1,21,0,0,1,1,0.1606,0.2208,0.8092,0.1693,11,32,43
238,2011-01-10,1,0,1,22,0,0,1,1,0.0831,0.1225,0.6674,0.1845,5,16,21
239,2011-01-10,1,0,1,23,0,0,1,1,0.0264,0.0206,0.3925,0.0139,1,8,9
240,2011-01-11,1,0,1,0,0,1,1,1,0.093,0.1103,0.7793,0.231,0,7,7
241,2011-01-11,1,0,1,1,0,1,1,1,0.0649,0.0975,0.7827,0.0306,1,5,6
242,2011-01-11,1,0,1,2,0,1,1,1,0.0571,0.0802,0.2156,0.4237,0,3,3
243,2011-01-11,1,0,1,3,0,1,1,1,0.1092,0.0932,0.3245,0.0215,0,0,0
244,2011-01-11,1,0,1,4,0,1,1,2,0.0,0.0,0.635,0.026,0,2,2
245,2011-01-11,1,0,1,5,0,1,1,1,0.1218,0.1586,0.485,0.0455,1,8,9
246,2011-01-11,1,0,1,6,0,1,1,3,0.0415,0.0138,0.4544,0.2249,2,21,23
247,2011-01-11,1,0,1,7,0,1,1,1,0.0,0.0265,0.6105,0.0033,20,70,90
248,2011-01-11,1,0,1,8,0,1,1,3,0.1186,0.1215,0.4836,0.0452,15,48,63
249,2011-01-11,1,0,1,9,0,1,1,3,0.1232,0.0856,0.544,0.0935,9,22,31
250,2011-01-11,1,0,1,10,0,1,1,1,0.0431,0.0336,0.436,0.0433,11,33,44
251,2011-01-11,1,0,1,11,0,1,1,1,0.0327,0.0346,0.5643,0.0105,14,48,62
252,2011-01-11,1,0,1,12,0,1,1,1,0.0794,0.0545,0.31,0.437,17,47,64
253,2011-01-11,1,0,1,13,0,1,1,2,0.0,0.0,0.5929,0.0096,14,57,71
254,2011-01-11,1,0,1,14,0,1,1,2,0.0511,0.0494,0.4057,0.0449,6,46,52
255,2011-01-11,1,0,1,15,0,1,1,1,0.0896,0.1384,0.5485,0.3175,15,41,56
256,2011-01-11,1,0,1,16,0,1,1,1,0.0994,0.0984,0.4908,0.3599,13,50,63
257,2011-01-11,1,0,1,17,0,1,1,1,0.0984,0.0759,0.436,0.2242,43,104,147
258,2011-01-11,1,0,1,18,0,1,1,1,0.0,0.006,0.5544,0.151,31,91,122
259,2011-01-11,1,0,1,19,0,1,1,1,0.0869,0.1125,0.5727,0.2364,8,46,54
260,2011-01-11,1,0,1,20,0,1,1,2,0.0702,0.0847,0.418,0.3366,7,27,34
261,2011-01-11,1,0,1,21,0,1,1,1,0.1866,0.1546,0.5036,0.5123,8,36,44
262,2011-01-11,1,0,1,22,0,1,1,3,0.1409,0.1839,0.3216,0.0019,2,12,14
263,2011-01-11,1,0,1,23,0,1,1,1,0.1125,0.1222,0.5292,0.0311,3,10,13
264,2011-01-12,1,0,1,0,0,2,1,2,0.1739,0.1844,0.4545,0.2586,0,5,5
265,2011-01-12,1,0,1,1,0,2,1,1,0.1483,0.1477,0.3501,0.1867,1,3,4
266,2011-01-12,1,0,1,2,0,2,1,1,0.0552,0.0429,0.4006,0.2072,0,1,1
267,2011-01-12,1,0,1,3,0,2,1,1,0.1334,0.1205,0.5606,0.1508,0,1,1
268,2011-01-12,1,0,1,4,0,2,1,2,0.1432,0.1096,0.4397,0.2721,0,2,2
269,2011-01-12,1,0,1,5,0,2,1,2,0.0898,0.148,0.35,0.0051,1,6,7
270,2011-01-12,1,0,1,6,0,2,1,2,0.1197,0.1397,0.3182,0.3566,6,23,29
271,2011-01-12,1,0,1,7,0,2,1,1,0.0769,0.0476,0.6661,0.1187,16,77,93
272,2011-01-12,1,0,1,8,0,2,1,3,0.0741,0.0458,0.4667,0.2932,12,66,78
273,2011-01-12,1,0,1,9,0,2,1,3,0.1204,0.1389,0.3597,0.2653,8,44,52
